shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
b02a2607-bef0-41ac-b7d5-5debe45ec83c,44.414285753245,-79.6690619780591,210,16797.65
a3bf91dc-b99a-4c7d-a477-713a13e7153f,44.3972056373532,-79.7280400442993,97,5554.22
b3c07c3b-f794-479c-84a7-dafa8e48b388,44.3653241768137,-79.6613074616544,49,3293.72
3663e74c-e6a9-4f15-94c5-a7c75caa0d7a,44.3909334612021,-79.691662610437,22,3105.96
3ae649a7-dd18-4022-ae2f-5ef19267777c,44.32269687,-79.72353994,88,11244.94
461dc0a9-91bb-42a9-925b-18239a722a4b,44.3747736479119,-79.6888040695571,142,19483.92
42006b6d-c6b6-43c4-ae1d-a3e0c93f4b76,44.4107726,-79.67581077,129,9895.59
9170efc9-6722-4a0c-ab51-1c0c0cce06bb,44.4145560691414,-79.6631778293665,51,6286.03
5447afc0-6b5d-4291-bc1a-e51cf8e418e4,44.3718541865054,-79.7371203093269,80,9178.83
d9134dc3-c009-4854-a90b-ed9ee2c505bf,44.3784485290597,-79.6902760102188,13,1115.25
8668f823-571f-4aec-b96a-a1afe5590646,44.3366899942939,-79.6790485084425,185,20755.18
98ed568c-5eba-46aa-a22d-f8bc07b6f0c4,44.3908722895665,-79.7003022315431,245,17510.84
c244e423-dfe4-4d0b-857a-3a15342eb75b,44.3454862,-79.66983149,55,5311.23
b02a2607-bef0-41ac-b7d5-5debe45ec83c,44.40887955,-79.71010882,127,12338.56
e9cf3849-6fce-420e-9e51-84506526dd07,44.3739253232581,-79.6897531198448,94,13073.36
8668f823-571f-4aec-b96a-a1afe5590646,44.3252354796467,-79.6871568476464,159,18813.47
7c643bdc-a36e-4feb-be5b-28168758ceaf,44.357575288789,-79.6494161428171,230,15818.22
3bfee775-ec07-4248-a65d-99a1b290e29e,44.3905521022752,-79.6808235511964,18,1333.92
d9134dc3-c009-4854-a90b-ed9ee2c505bf,44.34150661,-79.67819993,149,15080.25
9170efc9-6722-4a0c-ab51-1c0c0cce06bb,44.4185964788,-79.6952824146544,122,10524.04
e9cf3849-6fce-420e-9e51-84506526dd07,44.3995922687,-79.6503667134936,163,18809.59
3663e74c-e6a9-4f15-94c5-a7c75caa0d7a,44.3861331961465,-79.6938363012076,36,3988.06
98ed568c-5eba-46aa-a22d-f8bc07b6f0c4,44.3889604081703,-79.6913976106365,257,18344.36
dfd89112-4c60-4462-821d-6102e5c0ee1a,44.3523024223824,-79.6997808169867,122,13051.49
0b207682-7778-4958-a780-fdcbc9e02ba7,44.379309709011,-79.7333741187162,47,4280.92
dfd89112-4c60-4462-821d-6102e5c0ee1a,44.3509698866825,-79.7005185419228,125,13211.37
dfd89112-4c60-4462-821d-6102e5c0ee1a,44.3433703252642,-79.6781638138054,226,24299.4
2540d374-8e20-4296-a37c-9a127daa37bb,44.33993688,-79.7171497,53,7709.29
bcee9585-8175-4234-908d-b8da423a6202,44.375196923424,-79.6902810807378,142,15894.21
98ed568c-5eba-46aa-a22d-f8bc07b6f0c4,44.4164865232443,-79.677640210562,68,6084.8
50e981a6-4354-4d9b-9b39-d7a5e68495fc,44.32184739,-79.72805133,32,5085.42
a3bf91dc-b99a-4c7d-a477-713a13e7153f,44.38991961,-79.72088082,74,4378.92
5f078fa5-240f-4aec-891c-957dc258acef,44.361105255714,-79.6985170514984,74,10145.72
9170efc9-6722-4a0c-ab51-1c0c0cce06bb,44.40113899,-79.70051743,139,13139.8
98ed568c-5eba-46aa-a22d-f8bc07b6f0c4,44.3883518314444,-79.7055591852424,240,17007.22
42006b6d-c6b6-43c4-ae1d-a3e0c93f4b76,44.3758374642274,-79.6922756946112,5,268.85
1b47bde0-4d1d-4794-bfcb-65b91be20ca9,44.3411209345978,-79.6784008076641,8,222.7
3ae649a7-dd18-4022-ae2f-5ef19267777c,44.3747645581656,-79.6888494510346,191,20078.88
a3bf91dc-b99a-4c7d-a477-713a13e7153f,44.3856670298224,-79.7065824745921,24,1862.15
c244e423-dfe4-4d0b-857a-3a15342eb75b,44.3636722098226,-79.6971782822133,213,17955.76
3663e74c-e6a9-4f15-94c5-a7c75caa0d7a,44.3335580946778,-79.671411407984,123,11596.61
3ae649a7-dd18-4022-ae2f-5ef19267777c,44.3855285663908,-79.6912355010705,218,21654.21
c244e423-dfe4-4d0b-857a-3a15342eb75b,44.3650488900245,-79.6968568538258,217,18111.78
dfd89112-4c60-4462-821d-6102e5c0ee1a,44.3906716645886,-79.6929166267114,77,7925.3
4f73e307-25ce-435e-a612-8e77f60478ed,44.40887955,-79.71010882,68,6166.38
d6c3ef6a-9b88-4156-b683-2b209ceb83b1,44.3950500379968,-79.6616095156017,59,5290.53
e9cf3849-6fce-420e-9e51-84506526dd07,44.39039984,-79.69250726,122,15159.96
f6f2521e-ca13-4e6f-b79a-a4c1af02136b,44.3692981920375,-79.6940860086333,153,11017.3
8b413dfb-4f30-4f82-977f-eaa13057a5d3,44.3746120998448,-79.6904526848372,88,15256.42
a3bf91dc-b99a-4c7d-a477-713a13e7153f,44.39039984,-79.69250726,2,345.05
f6f2521e-ca13-4e6f-b79a-a4c1af02136b,44.34749335,-79.66391904,299,25515.17
5447afc0-6b5d-4291-bc1a-e51cf8e418e4,44.369233769108,-79.7146126178855,72,6962.94
dfd89112-4c60-4462-821d-6102e5c0ee1a,44.3486521246772,-79.6639807169773,242,26017.84
